时间戳,x,y,状态
1772471228.565,-5.20,-0.50,不变
1772471228.691,-5.50,-1.40,不变
1772471228.814,-5.80,-1.70,不变
1772471228.938,-5.60,-1.60,不变
1772471228.938,-5.70,-1.10,不变
1772471229.061,-5.80,-0.60,不变
1772471229.184,-5.90,-0.80,不变
1772471229.307,-6.00,-0.90,不变
1772471229.431,-5.70,-0.90,不变
1772471229.556,-5.90,-0.90,不变
1772471229.556,-6.00,-0.70,不变
1772471229.679,-6.20,-0.40,不变
1772471229.801,-6.50,-0.20,不变
1772471229.925,-6.70,-0.20,不变
1772471230.049,-6.70,-0.10,不变
1772471230.049,-6.70,0.00,不变
1772471230.176,-6.90,0.10,不变
1772471230.300,-7.10,0.20,不变
1772471230.425,-7.40,0.20,不变
1772471230.549,-7.50,0.40,不变
1772471230.673,-7.70,0.70,不变
1772471230.673,-7.60,0.50,不变
1772471230.797,-7.90,0.50,不变
1772471230.922,-8.40,0.70,不变
1772471231.046,-8.80,0.30,不变
1772471231.170,-8.90,0.00,不变
1772471231.170,-8.00,0.70,不变
1772471231.294,-6.50,0.70,不变
1772471231.418,-6.10,1.20,不变
1772471231.543,-6.30,2.10,不变
1772471231.667,-5.80,2.30,不变
1772471231.792,-5.10,1.80,不变
1772471231.916,-3.90,1.60,不变
1772471231.916,-3.60,1.90,不变
1772471232.041,-4.40,2.70,不变
1772471232.163,-6.70,2.60,不变
1772471232.288,-9.20,0.80,不变
1772471232.288,-5.20,-2.30,不变
1772471232.411,7.10,-5.90,不变
1772471232.534,18.20,-7.40,不变
1772471232.657,29.10,-7.10,不变
1772471232.779,32.30,-5.80,不变
1772471232.779,33.00,-5.50,不变
1772471232.904,33.30,-6.20,不变
1772471233.028,33.20,-5.50,不变
1772471233.152,32.70,-4.60,不变
1772471233.279,32.80,-3.30,不变
1772471233.401,33.20,-3.00,不变
1772471233.401,32.40,-2.00,不变
1772471233.526,29.00,-1.80,不变
1772471233.649,22.90,-2.50,不变
1772471233.773,12.80,-1.20,不变
1772471233.896,3.20,-0.70,不变
1772471233.896,-1.30,-0.70,不变
1772471234.020,-3.70,-1.20,不变
1772471234.143,-4.90,-0.70,不变
